City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Lumby,CA,50.2498,-118.969,61.9,78,7,2.95,clear sky
146,Mar Del Plata,AR,-38.0023,-57.5575,51.1,55,7,7.0,clear sky
147,Jiujiang,CN,29.7333,115.9833,70.61,82,100,8.3,overcast clouds
148,Sao Filipe,CV,14.8961,-24.4956,76.64,82,83,12.06,light rain
149,Candelaria,PH,13.9311,121.4233,80.38,93,98,4.99,overcast clouds
150,Touros,BR,-5.1989,-35.4608,80.29,59,74,18.01,broken clouds
151,Krasnyy Chikoy,RU,50.3643,108.7512,49.51,69,22,4.34,few clouds
152,Villafranca De Los Barros,ES,38.5614,-6.3381,82.6,21,1,5.41,clear sky
153,Saint-Philippe,RE,-21.3585,55.7679,76.59,78,59,7.76,light rain
154,Torbay,CA,47.6666,-52.7314,70.75,88,64,8.99,broken clouds
155,Ancud,CL,-41.8697,-73.8203,46.22,96,100,4.16,light rain
156,Georgetown,MY,5.4112,100.3354,85.98,74,20,4.61,few clouds
157,Winchester,GB,51.0651,-1.3187,74.68,54,40,18.41,scattered clouds
158,Qaanaaq,GL,77.484,-69.3632,32.05,65,0,4.72,clear sky
159,Faanui,PF,-16.4833,-151.75,77.41,67,12,20.31,few clouds
160,Zyryanka,RU,65.75,150.85,47.7,46,30,6.02,scattered clouds
161,Alice Springs,AU,-23.7,133.8833,62.15,48,100,9.22,light rain
162,Zavitinsk,RU,50.1167,129.45,57.47,85,60,7.09,broken clouds
163,Bogorodskoye,RU,56.55,37.8833,58.26,72,94,15.17,overcast clouds
164,Mahebourg,MU,-20.4081,57.7,75.25,68,5,10.33,clear sky
165,Brosteni,RO,47.2333,25.7,69.24,69,100,2.75,overcast clouds
166,Bakel,SN,14.905,-12.4568,87.03,61,95,8.93,light rain
167,Sosnogorsk,RU,63.6023,53.8817,55.56,43,98,9.95,overcast clouds
168,Formosa,AR,-26.1775,-58.1781,66.43,50,19,9.71,few clouds
169,Jaru,BR,-10.4389,-62.4664,82.2,37,0,3.15,clear sky
170,Chokurdakh,RU,70.6333,147.9167,38.05,70,21,10.49,few clouds
171,Klaksvik,FO,62.2266,-6.589,54.52,83,3,15.7,clear sky
172,Plouzane,FR,48.3833,-4.6167,75.52,70,63,11.74,broken clouds
173,Liberal,US,37.0431,-100.921,63.64,72,98,5.35,overcast clouds
174,Ponta Do Sol,PT,32.6667,-17.1,80.71,64,7,5.48,clear sky
175,Nizhniy Tsasuchey,RU,50.5167,115.1333,51.42,33,45,7.31,scattered clouds
176,Ratnagiri,IN,16.9833,73.3,82.09,85,45,12.35,heavy intensity rain
177,Yellowknife,CA,62.456,-114.3525,53.56,100,99,5.01,overcast clouds
178,Kaeo,NZ,-35.1,173.7833,50.32,94,100,4.29,overcast clouds
179,Richards Bay,ZA,-28.783,32.0377,64.42,58,90,16.22,overcast clouds
180,Urengoy,RU,65.9667,78.3667,47.43,67,100,12.5,overcast clouds
181,Pisco,PE,-13.7,-76.2167,58.01,87,26,0.96,scattered clouds
182,Gamba,GA,-2.65,10.0,80.17,68,91,10.67,overcast clouds
183,Berlevag,NO,70.8578,29.0864,46.4,76,75,9.22,broken clouds
184,Domoni,KM,-12.2569,44.5319,77.59,66,65,12.97,broken clouds
185,Kapit,MY,2.0167,112.9333,76.62,87,99,1.61,overcast clouds
186,Lagos,NG,6.5833,3.75,80.92,79,100,10.07,moderate rain
187,Kapaa,US,22.0752,-159.319,71.1,78,3,7.94,clear sky
188,Bonfim,BR,3.0833,-59.95,78.8,79,92,2.57,overcast clouds
189,Viedma,AR,-40.8135,-62.9967,53.96,34,100,10.83,overcast clouds
190,Nanortalik,GL,60.1432,-45.2371,40.75,79,14,11.88,few clouds
191,Hamilton,US,39.1834,-84.5333,61.86,94,0,1.92,clear sky
192,Beloha,MG,-25.1667,45.05,68.18,52,87,24.56,light rain
193,Tiksi,RU,71.6872,128.8694,40.42,97,100,5.77,light rain
194,Salalah,OM,17.0151,54.0924,79.07,78,82,11.48,broken clouds
195,Darhan,MN,49.4867,105.9228,57.78,54,19,6.76,few clouds
196,Nyurba,RU,63.2842,118.3319,39.9,94,100,6.38,overcast clouds
197,Paamiut,GL,61.994,-49.6678,40.05,75,11,12.75,few clouds
198,Trairi,BR,-3.2778,-39.2689,84.88,43,9,11.81,clear sky
199,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.39,33,75,1.25,broken clouds
200,North Bend,US,43.4065,-124.2243,56.91,97,100,6.91,overcast clouds
201,Rockhampton,AU,-23.3833,150.5,64.29,88,100,5.75,overcast clouds
202,Madera,US,37.1666,-119.8343,84.07,32,0,1.59,clear sky
203,Korla,CN,41.7597,86.1469,84.11,17,60,4.07,broken clouds
204,Ubinskoye,RU,55.3068,79.6802,78.64,41,16,9.08,few clouds
205,Paita,PE,-5.0892,-81.1144,61.88,86,72,11.83,broken clouds
206,Luena,AO,-11.7833,19.9167,90.59,12,0,6.78,clear sky
207,Los Llanos De Aridane,ES,28.6585,-17.9182,76.12,80,40,3.0,scattered clouds
208,Severo-Kurilsk,RU,50.6789,156.125,53.78,74,48,5.57,scattered clouds
209,Areosa,PT,41.7178,-8.8571,70.43,65,29,8.05,scattered clouds
210,Madimba,TZ,-10.4,40.3333,83.16,53,26,18.75,scattered clouds
211,Taoudenni,ML,22.6783,-3.9836,108.54,15,0,6.8,clear sky
212,Benguela,AO,-12.5763,13.4055,75.49,71,40,10.87,scattered clouds
213,Ulladulla,AU,-35.35,150.4667,52.77,86,96,3.47,overcast clouds
214,Chino Valley,US,34.7575,-112.4538,71.98,51,2,2.59,clear sky
215,Mahajanga,MG,-15.7167,46.3167,82.6,49,39,13.96,scattered clouds
216,Nemuro,JP,43.3236,145.575,61.79,93,100,27.25,light rain
217,Kahului,US,20.8947,-156.47,79.84,76,38,3.0,scattered clouds
218,Lavrentiya,RU,65.5833,-171.0,43.23,99,100,5.91,light rain
219,Cidreira,BR,-30.1811,-50.2056,59.68,70,0,15.9,clear sky
220,Nabire,ID,-3.3667,135.4833,77.54,88,99,3.38,heavy intensity rain
221,Krasnaya Gora,RU,52.9995,31.6023,69.35,38,75,14.56,broken clouds
222,Yerofey Pavlovich,RU,53.9667,121.9667,41.5,64,50,3.71,scattered clouds
223,Pokhara,NP,28.2333,83.9833,76.12,94,86,2.28,overcast clouds
224,Flin Flon,CA,54.7682,-101.865,49.57,74,52,8.48,broken clouds
225,Maues,BR,-3.3836,-57.7186,82.35,37,67,2.21,broken clouds
226,Nizwa,OM,22.9333,57.5333,99.86,17,5,8.9,clear sky
227,Montepuez,MZ,-13.1256,38.9997,86.29,24,56,9.44,broken clouds
228,Lagoa,PT,39.05,-27.9833,71.87,79,100,9.33,overcast clouds
229,Petropavlovka,RU,50.6114,105.3196,57.47,71,55,2.44,broken clouds
230,Bethel,US,41.3712,-73.414,70.48,88,67,1.99,broken clouds
231,Castro,BR,-24.7911,-50.0119,51.44,78,80,11.92,broken clouds
232,Tiznit,MA,29.5833,-9.5,96.13,25,58,7.9,broken clouds
233,Husavik,IS,66.0449,-17.3389,55.11,85,100,6.73,overcast clouds
234,Carballo,ES,43.213,-8.691,74.62,75,78,5.28,broken clouds
235,Brae,GB,60.3964,-1.353,56.17,71,98,7.16,overcast clouds
236,Terra Santa,BR,-2.1042,-56.4869,83.64,39,0,1.72,clear sky
237,Acarau,BR,-2.8856,-40.12,84.96,46,22,15.21,few clouds
238,Norman Wells,CA,65.282,-126.8329,51.93,85,99,3.44,overcast clouds
239,Zyryanovsk,KZ,49.7386,84.2719,82.18,19,26,8.01,scattered clouds
240,Waingapu,ID,-9.6567,120.2641,78.42,80,46,2.53,scattered clouds
241,Lumeje,AO,-11.55,20.7833,92.48,15,2,5.48,clear sky
242,Kamenka,RU,51.3223,42.7678,89.83,22,23,14.83,few clouds
243,Itacarambi,BR,-15.1022,-44.0919,70.29,42,3,9.26,clear sky
244,Pryazha,RU,61.6926,33.6216,47.43,96,100,14.79,light rain
245,Luderitz,NA,-26.6481,15.1594,70.68,48,91,0.85,overcast clouds
246,Husum,DE,54.4858,9.0524,71.89,38,32,9.78,scattered clouds
247,Anavra,GR,39.2,22.0833,80.56,29,5,4.56,clear sky
248,Awbari,LY,26.5921,12.7805,99.16,15,0,6.76,clear sky
